url_first_clean,count
Fecebook,1
http://adamowicz.pl/testowa/o-mnie/,1
"http://trojmiasto.wyborcza.pl/trojmiasto/7,35612,24714583,magdalena-adamowicz-bylam-prawdziwym-krytykiem-pawla.html",1
"http://trojmiasto.wyborcza.pl/trojmiasto/7,35612,24714583,magdalena-adamowicz-bylam-prawdziwym-krytykiem-pawla.html?disableRedirects=true",1
"http://trojmiasto.wyborcza.pl/trojmiasto/7,35612,24870965,nieoficjalnie-zabojca-pawla-adamowicza-nie-trafi-do-wiezienia.html?ssoSessionId=e951c9053bd4994b2a0d0acd49c4b0ac9584d878414f826b9cce05117caabfd4",1
https://en.m.wikipedia.org/wiki/Pawe%C5%82_Adamowicz,1
https://en.m.wikipedia.org/wiki/Paweł_Adamowicz,1
https://m.facebook.com/Pawel.Adamowicz/https://m.facebook.com/Pawel.Adamowicz/,1
"https://m.facebook.com/Pawel.Adamowicz/zyje/aktualnosci/news-zabojca-adamowicza-nie-trafi-do-wiezienia-jest-oswiadczenie-,nId,3032118",1
"https://natemat.pl/amp/273357,olejnik-zapytala-w-kropce-nad-i-adamowicz-o-przyjazn-z-glodziem-i-majatek",1
https://nczas.com/2019/06/04/pawel-adamowicz-jest-lechem-kaczynskim-wyborcow-platformy-obywatelskiej-uroczysta-zmiana-warty-pruskich-zolnierzy-przed-grobem-prezydenta-video/,1
"https://trojmiasto.wyborcza.pl/trojmiasto/7,35612,24870965,nieoficjalnie-zabojca-pawla-adamowicza-nie-trafi-do-wiezienia.html?disableRedirects=true",1
https://twitter.com/adamowiczpawel?lang=en,1
"https://wiadomosci.gazeta.pl/wiadomosci/0,114916.html?tag=pawe%B3+adamowicz",1
https://wiadomosci.onet.pl/swiat/aleja-w-parku-riegrovy-sady-w-pradze-ma-imie-pawla-adamowicza/t84bqev.amp,1
https://wiadomosci.wp.pl/zabojca-pawla-adamowicza-jest-niepoczytalny-to-oznacza-ze-moze-nie-trafic-do-wiezienia-6389058194700417a?amp=1,1
"https://www.google.com/amp/s/fakty.interia.pl/raporty/raport-pawel-adamowicz-nie-zyje/aktualnosci/newsamp-zabojca-adamowicza-nie-trafi-do-wiezienia-jest-oswiadczenie-,nId,3032118",1
https://www.google.com/amp/s/trojmiasto.onet.pl/swieto-wolnosci-i-solidarnosci-w-gdansku-koncerty-debaty-i-spotkanie-z-lechem-walesy/08l0j9p.amp,1
